S|K1|n01|D	¬(A⋀B⋀C)	true	SATISFIABLE	[[¬A], [¬B], [¬C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( ¬A) ⋁ ( ¬B) ⋁ ( ¬C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( ¬A⋁¬B⋁¬C) |  |  | MINIMAL NORMAL FORMS : |  | ( ¬A⋁¬B⋁¬C) | -------------------------------------------------------------------------------------- |
S|K1|n01|O	A⋀B⋀C	true	SATISFIABLE	[[A, B, C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( A⋀B⋀C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( A) ⋀ ( B) ⋀ ( C) |  |  | MINIMAL NORMAL FORMS : |  | ( A⋀B⋀C) | -------------------------------------------------------------------------------------- |
S|K1|n22|D	¬(A⋁B⋁C)	true	SATISFIABLE	[[¬A, ¬B, ¬C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( ¬A⋀¬B⋀¬C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( ¬A) ⋀ ( ¬B) ⋀ ( ¬C) |  |  | MINIMAL NORMAL FORMS : |  | ( ¬A⋀¬B⋀¬C) | -------------------------------------------------------------------------------------- |
S|K1|n22|O	A⋁B⋁C	true	SATISFIABLE	[[A], [B], [C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( A) ⋁ ( B) ⋁ ( C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( A⋁B⋁C) |  |  | MINIMAL NORMAL FORMS : |  | ( A⋁B⋁C) | -------------------------------------------------------------------------------------- |
S|K1|n23|D	(A⋀B)⋀¬(A⋁B)	true	CONTRADICTION		
S|K1|n23|O	(A⋀B)⋀(A⋁B)	true	SATISFIABLE	[[A, B]]	DISJUNCTIVE  Normal Forms (DNFs) with 2 literals: | ( A⋀B) |  | CONJUCTIVE Normal Forms (CNFs) with 2 literals: | ( A) ⋀ ( B) |  |  | MINIMAL NORMAL FORMS : |  | ( A⋀B) | -------------------------------------------------------------------------------------- |
S|K1|n02|D	¬(A⋀B⋀C)	true	SATISFIABLE	[[¬A], [¬B], [¬C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( ¬A) ⋁ ( ¬B) ⋁ ( ¬C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( ¬A⋁¬B⋁¬C) |  |  | MINIMAL NORMAL FORMS : |  | ( ¬A⋁¬B⋁¬C) | -------------------------------------------------------------------------------------- |
S|K1|n02|O	A⋀B⋀C	true	SATISFIABLE	[[A, B, C]]	DISJUNCTIVE  Normal Forms (DNFs) with 3 literals: | ( A⋀B⋀C) |  | CONJUCTIVE Normal Forms (CNFs) with 3 literals: | ( A) ⋀ ( B) ⋀ ( C) |  |  | MINIMAL NORMAL FORMS : |  | ( A⋀B⋀C) | -------------------------------------------------------------------------------------- |
S|K1|n12|D	¬(A⋀B⋀C⋀D)	true	SATISFIABLE	[[¬A], [¬B], [¬C], [¬D]]	DISJUNCTIVE  Normal Forms (DNFs) with 4 literals: | ( ¬A) ⋁ ( ¬B) ⋁ ( ¬C) ⋁ ( ¬D) |  | CONJUCTIVE Normal Forms (CNFs) with 4 literals: | ( ¬A⋁¬B⋁¬C⋁¬D) |  |  | MINIMAL NORMAL FORMS : |  | ( ¬A⋁¬B⋁¬C⋁¬D) | -------------------------------------------------------------------------------------- |
S|K1|n12|O	A⋀B⋀C⋀D	true	SATISFIABLE	[[A, B, C, D]]	DISJUNCTIVE  Normal Forms (DNFs) with 4 literals: | ( A⋀B⋀C⋀D) |  | CONJUCTIVE Normal Forms (CNFs) with 4 literals: | ( A) ⋀ ( B) ⋀ ( C) ⋀ ( D) |  |  | MINIMAL NORMAL FORMS : |  | ( A⋀B⋀C⋀D) | -------------------------------------------------------------------------------------- |
